,Title,Published_date,Views,Likes,Comments,Month
311,Best Coursera Courses for Data Analysts in 2022,2022-02-08,127627,5874,219,Feb
312,Understanding Your Data Analyst Salary Offer | What To Know Before Accepting,2022-02-01,21215,720,61,Feb
313,Charts in Excel | Excel Tutorials for Beginners,2022-01-25,233454,5340,110,Jan
314,How I became a Data Analytics Manager | Alex The Analyst Show | Episode 20,2022-01-18,23768,868,360,Jan
315,Conditional Formatting in Excel | Excel Tutorials for Beginners,2022-01-11,324961,6428,140,Jan
316,150k Subscriber Livestream!!,2022-01-10,3505,159,7,Jan
317,How To Become A Data Analyst In 2022,2022-01-04,498869,21766,627,Jan
318,XLOOKUP in Excel | Excel Tutorials for Beginners,2021-12-28,396135,7674,284,Dec
319,Formulas in Excel | Excel Tutorials for Beginners,2021-12-21,655022,12719,594,Dec
320,Pivot Tables in Excel | Excel Tutorials for Beginners,2021-12-14,1327905,25276,557,Dec
321,Full Beginner Project in Tableau | Tableau Tutorials for Beginners,2021-12-07,383748,7224,549,Dec
322,How to use Joins in Tableau | Tableau Tutorials for Beginners,2021-11-23,202086,4979,79,Nov
323,Top 5 Major Red Flags in Job Descriptions,2021-11-18,18504,955,66,Nov
324,Truth About My Job (Song) - As a Data Analyst,2021-11-08,12331,943,110,Nov
325,How to Grow Your Analytics Career | Alteryx Webinar Oct 2021 | Tips to Break Into Analytics,2021-10-26,11536,343,33,Oct
326,Choosing a Domain to Make More Money,2021-10-19,21347,993,77,Oct
327,How to Create Visualizations in Tableau | Tableau Tutorials for Beginners,2021-10-05,241562,5170,233,Oct
328,How to use Calculated Fields and Bins in Tableau | Tableau Tutorials for Beginners,2021-09-28,312503,6298,110,Sep
329,How to Install Tableau and Create First Visualization | Tableau Tutorials for Beginners,2021-09-21,1005578,21572,478,Sep
330,How NOT to Become a Data Analyst (Funny?),2021-09-07,17576,708,114,Sep
331,100k Subscriber Play Button Unboxing,2021-08-31,2697,237,96,Aug
332,Amazon Web Scraping Using Python | Data Analyst Portfolio Project,2021-08-24,332011,7121,716,Aug
333,Interviewing with PwC for a Senior Data Analyst Position,2021-08-17,102617,2680,157,Aug
334,100k Livestream | Announcing Giveaway Winners | Trimming Mustache | Answering Questions,2021-08-13,4760,191,26,Aug
335,I Am No Longer a Data Analyst | Turning Down PwC | New Job,2021-08-11,143441,4385,480,Aug
336,When To Start Applying To Your First Data Analyst Job,2021-07-21,93603,4831,246,Jul
337,Why You Need to Stop Taking Courses (From an Ex-Course Addict),2021-07-13,131118,5606,363,Jul
338,How to Create a Portfolio Website for FREE,2021-06-29,845114,18058,857,Jun
339,Data Analyst Portfolio Project | Correlation in Python | Project 4/4,2021-06-22,220329,3713,540,Jun
340,How To Get a Data Analyst Job (with No Experience),2021-06-08,509708,21456,616,Jun
341,My Wife Answers Subscribers Questions About Me | Alex The Analyst Show | Episode 19,2021-06-03,6511,241,110,Jun
342,Favorite Tableau and Power BI Courses on Udemy,2021-06-01,35181,890,86,Jun
343,Data Analyst Portfolio Project | Data Cleaning in SQL | Project 3/4,2021-05-25,485619,8787,893,May
344,Data Analyst Portfolio Project | Tableau Visualization | Project 2/4,2021-05-18,439504,6662,473,May
345,Asking My Family What I Do For a Living,2021-05-11,3794,194,55,May
346,Data Analyst Portfolio Project | SQL Data Exploration | Project 1/4,2021-05-04,2386783,39851,4554,May
347,Advanced SQL Tutorial | Subqueries,2021-04-20,464161,9660,248,Apr
348,Data Analyst Q/A #6 | Why Am I Not a Data Scientist?,2021-04-15,22604,819,141,Apr
349,Google vs IBM Data Analytics Certificates | Which is Better?,2021-04-13,399613,12999,642,Apr
350,Data Analyst Reacts: How to Go From Data Analyst to Data Scientist,2021-04-06,28901,968,85,Apr
351,Laptops for Data Analysts |  Specifications + Recommendations,2021-03-30,208474,4339,332,Mar
352,Best Machine Learning Courses on Coursera,2021-03-23,65688,1907,83,Mar
353,Will Data Analysts Be Automated? | Alex The Analyst | Episode 18,2021-03-18,16733,485,118,Mar
354,Advanced SQL Tutorial | Stored Procedures + Use Cases,2021-03-16,537258,8981,203,Mar
355,Google Data Analytics Professional Certificate | It's Finally Here!,2021-03-12,375732,11221,1161,Mar
356,Google Data Analytics Certificate | Coming Out Soon!,2021-03-04,51858,2349,314,Mar
357,Reviewing Your Data Analyst Resumes | Part 2,2021-03-02,25802,596,75,Mar
358,Best Course to Learn Statistics for Data Analysis,2021-02-25,138077,3246,91,Feb
359,DataQuest Review | Is it Worth it?,2021-02-23,26285,437,46,Feb
360,R vs Python | Which is Better for Data Analysis?,2021-02-16,245062,5313,426,Feb
361,Advanced SQL Tutorial | String Functions + Use Cases,2021-02-04,198887,4730,155,Feb
362,Advanced SQL Tutorial | Temp Tables,2021-02-02,290365,6094,148,Feb
363,IBM Data Analyst Certificate Study Session,2021-01-30,5383,174,22,Jan
364,IBM Data Analyst Professional Certificate by Coursera | Is it Worth it?,2021-01-26,138229,3331,310,Jan
365,DataCamp Review | Is it Worth it?,2021-01-21,215988,4312,272,Jan
366,Best Python Course for Data Analysts,2021-01-19,57229,1387,119,Jan
367,Top 5 Data Analyst Skills,2021-01-12,35322,1423,170,Jan
368,Best Industries for Data Analysts in 2021 | Alex The Analyst Show | Episode 17,2021-01-07,15732,503,146,Jan
369,Top 5 Data Analyst Interview Mistakes,2021-01-05,110974,2716,73,Jan
370,2020 Year End Review + Upcoming Giveaway Details,2020-12-31,1593,140,101,Dec
371,Data Analyst Resume | Everything You Need to Know | Alex The Analyst Show | Episode 16,2020-12-24,42669,1216,136,Dec
372,Solving Medium Level SQL LeetCode Questions | Part 2/3,2020-12-22,12544,262,34,Dec
373,Entry vs Mid vs Senior Level Data Analyst | Alex The Analyst Show | Episode 15,2020-12-17,47784,1563,207,Dec
374,Data Engineer vs Data Analyst | Which Is Right For You?,2020-12-15,88252,2849,145,Dec
375,How to Find Out Your Coworkers Salary | Alex The Analyst Show | Episode 14,2020-12-10,3287,98,56,Dec
376,Advanced SQL Tutorial | CTE (Common Table Expression),2020-12-08,463534,6944,204,Dec
377,"Data Analyst Salary (Expectations, Bonuses, 401K, ESPP) | Alex The Analyst Show | Episode 13",2020-12-03,23444,737,190,Dec
378,Intermediate SQL Tutorial | Partition By,2020-12-01,326842,7161,204,Dec
379,Data Analyst Q/A LIVE #5 | AMA,2020-11-28,4958,131,18,Nov
380,Completely REALISTIC Jobs on LinkedIn | Alex The Analyst Show | Episode 12,2020-11-25,25043,887,161,Nov
381,Completely Unrealistic Jobs on LinkedIn | Alex The Analyst Show | Episode 11,2020-11-19,14777,574,204,Nov
382,Top 3 Tips on Using LinkedIn to Land a Job,2020-11-17,379152,12904,258,Nov
383,What is No Code Analytics? | Alex The Analyst Show | Episode 10,2020-11-12,4000,124,81,Nov
384,Solving LeetCode SQL Interview Questions | Part 1/3,2020-11-10,28699,723,67,Nov
385,What is Analytics Consulting? With John Ariansen | Alex The Analyst Show | Episode 9,2020-11-05,14252,401,119,Nov
386,Data Analyst Skills Path | What Skills You NEED to Know,2020-11-03,78415,3606,269,Nov
387,Data Analyst Q&A LIVE #4,2020-10-30,3626,104,25,Oct
388,Asking My Wife Your Questions About Me | Alex The Analyst Show | Episode 8,2020-10-27,14764,563,225,Oct
389,Top 10 Udemy Courses for Data Analysts,2020-10-22,211920,5340,304,Oct
390,Data Analyst Certifications | Are They Worth It? | Alex The Analyst Show | Episode 7,2020-10-20,180959,6189,984,Oct
391,Working at a Startup vs Fortune 500 Company | Alex The Analyst Show | Episode 6,2020-10-15,4954,185,74,Oct
392,Top 10 Coursera Courses for Data Analysts,2020-10-13,119792,5013,287,Oct
393,Imposter Syndrome in Tech | Alex The Analyst Show | Episode 5,2020-10-08,7801,380,176,Oct
394,Data Analyst Expectations vs Reality,2020-10-06,76080,2783,187,Oct
395,Covid and the Data Analyst Job Market | Alex The Analyst Show | Episode 4,2020-10-01,7494,253,161,Oct
396,Self Taught vs Boot Camp vs Degree | Alex The Analyst Show | Episode 3,2020-09-24,46164,1525,715,Sep
397,Top 5 Reasons You'll Be a Good Data Analyst,2020-09-22,15053,619,82,Sep
398,How I Changed Careers to Become a Data Analyst | Alex The Analyst Show | Episode 2,2020-09-10,419283,12125,3804,Sep
399,Top 5 Reasons Data Analytics is a Good Career Choice,2020-09-08,44996,1311,72,Sep
400,The Hiring Process from an Interviewer's Perspective | Alex The Analyst Show | Episode 1,2020-09-03,23981,722,85,Sep
401,Top 5 Reasons Not to Lie on Your Resume,2020-09-01,12846,215,119,Sep
402,Live Data Analyst Q&A #3,2020-08-29,3260,100,43,Aug
403,Data Analyst Career Path | How to Become a Data Analyst + What to Do Next,2020-08-20,132358,4648,269,Aug
404,Top 5 Reasons Not to Become a Data Analyst,2020-08-12,929189,19684,1028,Aug
405,Data Analyst Bootcamps | Are They Worth It?,2020-08-05,35645,581,92,Aug
406,What Does a Data Analyst Actually Do?,2020-07-29,1125459,21462,525,Jul
407,Data Analyst Question and Answer | Answering Your YouTube Questions,2020-07-22,5249,182,66,Jul
408,Scraping Data Off Twitter Using Python | Twitterscraper + NLP + Data Visualization,2020-07-15,55769,1387,159,Jul
409,Data Analyst vs Business Analyst | Which Is Right For You?,2020-07-03,810375,20166,588,Jul
410,Best Free Online Courses for Data Analysts,2020-06-23,58685,2757,95,Jun
411,Best Online Courses for Data Analysts,2020-06-17,191919,9653,426,Jun
412,Data Scientist vs Data Analyst | Which Is Right For You?,2020-06-10,800330,24329,857,Jun
413,Intermediate SQL Tutorial | Aliasing,2020-06-04,160286,4158,105,Jun
414,Data Analyst Q&A LIVE,2020-05-31,14141,278,52,May
415,Data Analyst Interviews | Salary Negotiation,2020-05-27,28652,877,27,May
416,Data Analyst Interview Questions | What To Say vs What NOT To Say,2020-05-20,81788,1914,35,May
417,SQL Interview Questions and Answers for Beginners | Data Analyst Interview Questions,2020-05-13,138840,3483,113,May
418,Data Analyst Interview Questions | Phone + In-Person Interview Questions,2020-05-06,90626,1735,61,May
419,Day in the Life of a Data Analyst | Fortune 500 Edition (During Quarantine),2020-04-23,15722,528,52,Apr
420,Intermediate SQL Tutorial | Updating/Deleting Data,2020-04-16,163906,3582,144,Apr
421,Intermediate SQL Tutorial | Having Clause,2020-04-09,200810,5014,92,Apr
422,Intermediate SQL Tutorial | Case Statement | Use Cases,2020-04-02,333324,7853,441,Apr
423,Intermediate SQL Tutorial | Unions | Union Operator,2020-03-26,288124,5422,116,Mar
424,Intermediate SQL Tutorial | Inner/Outer Joins | Use Cases,2020-03-19,595186,9646,478,Mar
425,Day in the Life of a Data Analyst | Fortune 500 Edition,2020-03-11,127449,2593,252,Mar
426,SQL Basics Tutorial For Beginners | Group By + Order By Statements | 4/4,2020-03-03,347562,8411,236,Mar
427,SQL Basics Tutorial For Beginners | Where Statement | 3/4,2020-03-02,366116,6279,155,Mar
428,SQL Basics Tutorial For Beginners | Select + From Statements | 2/4,2020-03-01,534826,7589,301,Mar
429,SQL Basics Tutorial For Beginners | Installing SQL Server Management Studio and Create Tables | 1/4,2020-03-01,1514067,19036,2049,Mar
430,Data Analyst Fact Check |  84k Average Starting Salary?? | The Career Force 2020 Data Analyst Salary,2020-02-26,26172,854,161,Feb
431,Data Analyst Resume | Reviewing YOUR Data Analyst Resumes!,2020-02-24,28113,567,41,Feb
432,Data Analyst Salary in 2020,2020-02-19,8387,160,26,Feb
433,Working With a Recruiter to Land Your First Job as a Data Analyst | LinkedIn Recruiters,2020-02-14,15516,660,39,Feb
434,Switching Careers to Become a Data Analyst | How I Made the Switch,2020-02-11,51639,1847,253,Feb
435,Data Analyst Resume | Complete Guide To Creating A Data Analyst Resume | Tips + Templates + Examples,2020-02-06,129141,3630,105,Feb
436,Data Analyst Resume | Reviewing My Resume! | Fortune 500 Data Analyst,2020-01-30,88044,1839,63,Jan
437,Working at a Big Company Vs Small Company | Told by a Fortune 500 Data Analyst,2020-01-25,16455,443,23,Jan
438,Data Analyst Salary | 100k with No Experience,2020-01-23,66895,2256,217,Jan
439,Truth About Big Companies | Told by a Fortune 500 Data Analyst,2020-01-21,10421,375,22,Jan
440,Top 3 Data Analyst Skills in 2020,2020-01-17,33034,1542,144,Jan
