,Title,Published_date,Views,Likes,Comments
285,"Best Courses for Alternative Analyst Jobs | Marketing Analyst, Business Analyst, Financial Analyst",2022-08-02T10:30:05Z,21121,878,75
286,250k Subscriber Live Stream!!,2022-07-26T13:19:48Z,4178,156,11
287,How to use DAX in Power BI | Microsoft Power BI for Beginners,2022-07-26T10:30:12Z,387564,6896,269
288,Tech Layoffs and Hiring Freezes | The Great Resignation | Alex The Analyst Show | Episode 23,2022-07-19T10:30:06Z,22086,608,125
289,How to Create and Manage Relationships in Power BI | Microsoft Power BI for Beginners,2022-07-12T10:30:22Z,496705,7785,185
290,Machine Learning Specialization on Coursera | Review,2022-07-05T10:30:01Z,26911,824,63
291,Meta Marketing Analytics Professional Certificate on Coursera | Review,2022-06-28T10:30:07Z,41788,1034,99
292,Google's Secret Hiring Platform | Found in the Google Data Analytics Certification,2022-06-21T10:30:09Z,45837,1629,131
293,How to use Power Query in Power BI | Microsoft Power BI for Beginners,2022-06-14T10:30:08Z,638935,9337,143
294,Automating Crypto Website API Pull Using Python | Data Analyst Project,2022-06-07T10:30:10Z,96915,1556,134
295,How to use a Public API | Using a Public API with Python,2022-05-31T10:30:01Z,79394,2252,97
296,How to Install Power BI | Building First Visualization | Microsoft Power BI for Beginners,2022-05-24T10:30:06Z,960799,14847,345
297,MySQL vs Postgresql vs Microsoft SQL Server Management Tools | Which Option is Best?,2022-05-17T10:30:06Z,192568,3747,290
298,Top 3 Tips to Stop Procrastinating to be Successful,2022-05-10T10:30:05Z,33650,1671,155
299,SQL vs NoSQL | What's the Difference?,2022-05-03T10:30:03Z,71678,2029,70
300,Database vs Data Warehouse vs Data Lake | What is the Difference?,2022-04-26T10:30:00Z,1086936,27343,356
301,How I Manage My Time Working 60+ Hours Per Week | Alex The Analyst Show | Episode 22,2022-04-20T10:30:09Z,12173,328,161
302,200k Livestream! | Shaving | Puppies | Giveaway,2022-04-14T13:29:42Z,3192,133,11
303,Things I HATE About Being a Data Analyst,2022-04-12T10:30:00Z,36850,1518,200
304,Best Website to Practice Technical Interview Questions,2022-04-05T10:30:07Z,20557,688,56
305,Pros and Cons of Working Remote | Alex The Analyst Show | Episode 21,2022-03-29T10:30:17Z,7226,275,157
306,Full Project in Excel | Excel Tutorials for Beginners,2022-03-22T10:30:15Z,1250040,25215,1331
307,Top 5 Non-Technical Skills for Data Analysts,2022-03-15T10:30:18Z,22640,831,72
308,Cleaning Data in Excel | Excel Tutorials for Beginners,2022-03-01T11:30:14Z,839224,16573,389
309,Tableau Data Analyst Certification Review,2022-02-22T11:30:01Z,73744,1694,131
310,Job Title Alternatives for Data Analysts,2022-02-15T11:30:07Z,26714,1020,94
311,Best Coursera Courses for Data Analysts in 2022,2022-02-08T11:30:01Z,127627,5874,219
312,Understanding Your Data Analyst Salary Offer | What To Know Before Accepting,2022-02-01T11:30:10Z,21215,720,61
313,Charts in Excel | Excel Tutorials for Beginners,2022-01-25T11:30:18Z,233454,5340,110
314,How I became a Data Analytics Manager | Alex The Analyst Show | Episode 20,2022-01-18T11:30:02Z,23768,868,360
315,Conditional Formatting in Excel | Excel Tutorials for Beginners,2022-01-11T11:30:08Z,324961,6428,140
316,150k Subscriber Livestream!!,2022-01-10T14:59:31Z,3505,159,7
317,How To Become A Data Analyst In 2022,2022-01-04T11:30:11Z,498869,21766,627
318,XLOOKUP in Excel | Excel Tutorials for Beginners,2021-12-28T11:30:06Z,396135,7674,284
319,Formulas in Excel | Excel Tutorials for Beginners,2021-12-21T11:30:07Z,655022,12719,594
320,Pivot Tables in Excel | Excel Tutorials for Beginners,2021-12-14T11:30:07Z,1327905,25276,557
321,Full Beginner Project in Tableau | Tableau Tutorials for Beginners,2021-12-07T11:30:11Z,383748,7224,549
322,How to use Joins in Tableau | Tableau Tutorials for Beginners,2021-11-23T11:30:02Z,202086,4979,79
323,Top 5 Major Red Flags in Job Descriptions,2021-11-18T11:30:08Z,18504,955,66
324,Truth About My Job (Song) - As a Data Analyst,2021-11-08T11:30:01Z,12331,943,110
325,How to Grow Your Analytics Career | Alteryx Webinar Oct 2021 | Tips to Break Into Analytics,2021-10-26T10:00:23Z,11536,343,33
326,Choosing a Domain to Make More Money,2021-10-19T10:00:16Z,21347,993,77
327,How to Create Visualizations in Tableau | Tableau Tutorials for Beginners,2021-10-05T11:30:14Z,241562,5170,233
328,How to use Calculated Fields and Bins in Tableau | Tableau Tutorials for Beginners,2021-09-28T11:30:07Z,312503,6298,110
329,How to Install Tableau and Create First Visualization | Tableau Tutorials for Beginners,2021-09-21T11:30:01Z,1005578,21572,478
330,How NOT to Become a Data Analyst (Funny?),2021-09-07T11:30:01Z,17576,708,114
331,100k Subscriber Play Button Unboxing,2021-08-31T11:30:04Z,2697,237,96
332,Amazon Web Scraping Using Python | Data Analyst Portfolio Project,2021-08-24T11:30:01Z,332011,7121,716
333,Interviewing with PwC for a Senior Data Analyst Position,2021-08-17T11:30:01Z,102617,2680,157
334,100k Livestream | Announcing Giveaway Winners | Trimming Mustache | Answering Questions,2021-08-13T14:38:59Z,4760,191,26
335,I Am No Longer a Data Analyst | Turning Down PwC | New Job,2021-08-11T11:30:05Z,143441,4385,480
336,When To Start Applying To Your First Data Analyst Job,2021-07-21T11:30:04Z,93603,4831,246
337,Why You Need to Stop Taking Courses (From an Ex-Course Addict),2021-07-13T11:30:00Z,131118,5606,363
338,How to Create a Portfolio Website for FREE,2021-06-29T11:30:13Z,845114,18058,857
339,Data Analyst Portfolio Project | Correlation in Python | Project 4/4,2021-06-22T11:30:05Z,220329,3713,540
340,How To Get a Data Analyst Job (with No Experience),2021-06-08T11:30:12Z,509708,21456,616
341,My Wife Answers Subscribers Questions About Me | Alex The Analyst Show | Episode 19,2021-06-03T11:30:01Z,6511,241,110
342,Favorite Tableau and Power BI Courses on Udemy,2021-06-01T11:30:03Z,35181,890,86
343,Data Analyst Portfolio Project | Data Cleaning in SQL | Project 3/4,2021-05-25T11:30:01Z,485619,8787,893
344,Data Analyst Portfolio Project | Tableau Visualization | Project 2/4,2021-05-18T11:30:04Z,439504,6662,473
345,Asking My Family What I Do For a Living,2021-05-11T11:00:08Z,3794,194,55
346,Data Analyst Portfolio Project | SQL Data Exploration | Project 1/4,2021-05-04T11:00:31Z,2386783,39851,4554
347,Advanced SQL Tutorial | Subqueries,2021-04-20T11:00:32Z,464161,9660,248
348,Data Analyst Q/A #6 | Why Am I Not a Data Scientist?,2021-04-15T11:00:06Z,22604,819,141
349,Google vs IBM Data Analytics Certificates | Which is Better?,2021-04-13T11:00:04Z,399613,12999,642
350,Data Analyst Reacts: How to Go From Data Analyst to Data Scientist,2021-04-06T11:00:12Z,28901,968,85
351,Laptops for Data Analysts |  Specifications + Recommendations,2021-03-30T11:00:18Z,208474,4339,332
352,Best Machine Learning Courses on Coursera,2021-03-23T11:00:02Z,65688,1907,83
353,Will Data Analysts Be Automated? | Alex The Analyst | Episode 18,2021-03-18T11:00:08Z,16733,485,118
354,Advanced SQL Tutorial | Stored Procedures + Use Cases,2021-03-16T11:00:07Z,537258,8981,203
355,Google Data Analytics Professional Certificate | It's Finally Here!,2021-03-12T12:00:17Z,375732,11221,1161
356,Google Data Analytics Certificate | Coming Out Soon!,2021-03-04T12:15:01Z,51858,2349,314
357,Reviewing Your Data Analyst Resumes | Part 2,2021-03-02T12:00:08Z,25802,596,75
358,Best Course to Learn Statistics for Data Analysis,2021-02-25T12:00:13Z,138077,3246,91
359,DataQuest Review | Is it Worth it?,2021-02-23T12:00:19Z,26285,437,46
360,R vs Python | Which is Better for Data Analysis?,2021-02-16T12:00:00Z,245062,5313,426
361,Advanced SQL Tutorial | String Functions + Use Cases,2021-02-04T12:00:04Z,198887,4730,155
362,Advanced SQL Tutorial | Temp Tables,2021-02-02T12:00:13Z,290365,6094,148
363,IBM Data Analyst Certificate Study Session,2021-01-30T15:33:41Z,5383,174,22
364,IBM Data Analyst Professional Certificate by Coursera | Is it Worth it?,2021-01-26T12:00:22Z,138229,3331,310
365,DataCamp Review | Is it Worth it?,2021-01-21T12:00:03Z,215988,4312,272
366,Best Python Course for Data Analysts,2021-01-19T12:00:09Z,57229,1387,119
367,Top 5 Data Analyst Skills,2021-01-12T12:00:07Z,35322,1423,170
368,Best Industries for Data Analysts in 2021 | Alex The Analyst Show | Episode 17,2021-01-07T12:00:28Z,15732,503,146
369,Top 5 Data Analyst Interview Mistakes,2021-01-05T12:00:10Z,110974,2716,73
370,2020 Year End Review + Upcoming Giveaway Details,2020-12-31T12:00:01Z,1593,140,101
371,Data Analyst Resume | Everything You Need to Know | Alex The Analyst Show | Episode 16,2020-12-24T12:00:19Z,42669,1216,136
372,Solving Medium Level SQL LeetCode Questions | Part 2/3,2020-12-22T12:00:04Z,12544,262,34
373,Entry vs Mid vs Senior Level Data Analyst | Alex The Analyst Show | Episode 15,2020-12-17T12:00:12Z,47784,1563,207
374,Data Engineer vs Data Analyst | Which Is Right For You?,2020-12-15T12:00:08Z,88252,2849,145
375,How to Find Out Your Coworkers Salary | Alex The Analyst Show | Episode 14,2020-12-10T12:00:30Z,3287,98,56
376,Advanced SQL Tutorial | CTE (Common Table Expression),2020-12-08T12:00:05Z,463534,6944,204
377,"Data Analyst Salary (Expectations, Bonuses, 401K, ESPP) | Alex The Analyst Show | Episode 13",2020-12-03T12:00:00Z,23444,737,190
378,Intermediate SQL Tutorial | Partition By,2020-12-01T12:04:43Z,326842,7161,204
379,Data Analyst Q/A LIVE #5 | AMA,2020-11-28T17:07:30Z,4958,131,18
380,Completely REALISTIC Jobs on LinkedIn | Alex The Analyst Show | Episode 12,2020-11-25T11:00:05Z,25043,887,161
381,Completely Unrealistic Jobs on LinkedIn | Alex The Analyst Show | Episode 11,2020-11-19T15:00:26Z,14777,574,204
382,Top 3 Tips on Using LinkedIn to Land a Job,2020-11-17T14:11:52Z,379152,12904,258
383,What is No Code Analytics? | Alex The Analyst Show | Episode 10,2020-11-12T12:34:08Z,4000,124,81
384,Solving LeetCode SQL Interview Questions | Part 1/3,2020-11-10T15:02:50Z,28699,723,67
385,What is Analytics Consulting? With John Ariansen | Alex The Analyst Show | Episode 9,2020-11-05T15:43:17Z,14252,401,119
386,Data Analyst Skills Path | What Skills You NEED to Know,2020-11-03T15:13:12Z,78415,3606,269
387,Data Analyst Q&A LIVE #4,2020-10-30T15:13:53Z,3626,104,25
388,Asking My Wife Your Questions About Me | Alex The Analyst Show | Episode 8,2020-10-27T16:06:53Z,14764,563,225
389,Top 10 Udemy Courses for Data Analysts,2020-10-22T15:14:21Z,211920,5340,304
390,Data Analyst Certifications | Are They Worth It? | Alex The Analyst Show | Episode 7,2020-10-20T14:08:32Z,180959,6189,984
391,Working at a Startup vs Fortune 500 Company | Alex The Analyst Show | Episode 6,2020-10-15T15:33:32Z,4954,185,74
392,Top 10 Coursera Courses for Data Analysts,2020-10-13T14:40:18Z,119792,5013,287
393,Imposter Syndrome in Tech | Alex The Analyst Show | Episode 5,2020-10-08T14:26:27Z,7801,380,176
394,Data Analyst Expectations vs Reality,2020-10-06T14:52:33Z,76080,2783,187
395,Covid and the Data Analyst Job Market | Alex The Analyst Show | Episode 4,2020-10-01T13:53:17Z,7494,253,161
396,Self Taught vs Boot Camp vs Degree | Alex The Analyst Show | Episode 3,2020-09-24T15:29:17Z,46164,1525,715
397,Top 5 Reasons You'll Be a Good Data Analyst,2020-09-22T13:03:29Z,15053,619,82
398,How I Changed Careers to Become a Data Analyst | Alex The Analyst Show | Episode 2,2020-09-10T13:16:00Z,419283,12125,3804
399,Top 5 Reasons Data Analytics is a Good Career Choice,2020-09-08T14:15:55Z,44996,1311,72
400,The Hiring Process from an Interviewer's Perspective | Alex The Analyst Show | Episode 1,2020-09-03T15:38:28Z,23981,722,85
401,Top 5 Reasons Not to Lie on Your Resume,2020-09-01T12:29:45Z,12846,215,119
402,Live Data Analyst Q&A #3,2020-08-29T14:37:52Z,3260,100,43
403,Data Analyst Career Path | How to Become a Data Analyst + What to Do Next,2020-08-20T13:46:16Z,132358,4648,269
404,Top 5 Reasons Not to Become a Data Analyst,2020-08-12T14:52:19Z,929189,19684,1028
405,Data Analyst Bootcamps | Are They Worth It?,2020-08-05T13:14:01Z,35645,581,92
406,What Does a Data Analyst Actually Do?,2020-07-29T13:48:00Z,1125459,21462,525
407,Data Analyst Question and Answer | Answering Your YouTube Questions,2020-07-22T14:35:55Z,5249,182,66
408,Scraping Data Off Twitter Using Python | Twitterscraper + NLP + Data Visualization,2020-07-15T14:00:20Z,55769,1387,159
409,Data Analyst vs Business Analyst | Which Is Right For You?,2020-07-03T14:17:52Z,810375,20166,588
410,Best Free Online Courses for Data Analysts,2020-06-23T13:55:50Z,58685,2757,95
411,Best Online Courses for Data Analysts,2020-06-17T14:57:22Z,191919,9653,426
412,Data Scientist vs Data Analyst | Which Is Right For You?,2020-06-10T15:49:15Z,800330,24329,857
413,Intermediate SQL Tutorial | Aliasing,2020-06-04T14:00:10Z,160286,4158,105
414,Data Analyst Q&A LIVE,2020-05-31T13:54:38Z,14141,278,52
415,Data Analyst Interviews | Salary Negotiation,2020-05-27T15:13:50Z,28652,877,27
416,Data Analyst Interview Questions | What To Say vs What NOT To Say,2020-05-20T14:03:02Z,81788,1914,35
417,SQL Interview Questions and Answers for Beginners | Data Analyst Interview Questions,2020-05-13T15:00:26Z,138840,3483,113
418,Data Analyst Interview Questions | Phone + In-Person Interview Questions,2020-05-06T15:20:18Z,90626,1735,61
419,Day in the Life of a Data Analyst | Fortune 500 Edition (During Quarantine),2020-04-23T13:08:33Z,15722,528,52
420,Intermediate SQL Tutorial | Updating/Deleting Data,2020-04-16T12:58:52Z,163906,3582,144
421,Intermediate SQL Tutorial | Having Clause,2020-04-09T16:01:02Z,200810,5014,92
422,Intermediate SQL Tutorial | Case Statement | Use Cases,2020-04-02T15:16:37Z,333324,7853,441
423,Intermediate SQL Tutorial | Unions | Union Operator,2020-03-26T16:51:37Z,288124,5422,116
424,Intermediate SQL Tutorial | Inner/Outer Joins | Use Cases,2020-03-19T15:40:58Z,595186,9646,478
425,Day in the Life of a Data Analyst | Fortune 500 Edition,2020-03-11T13:44:54Z,127449,2593,252
426,SQL Basics Tutorial For Beginners | Group By + Order By Statements | 4/4,2020-03-03T15:06:36Z,347562,8411,236
427,SQL Basics Tutorial For Beginners | Where Statement | 3/4,2020-03-02T16:01:01Z,366116,6279,155
428,SQL Basics Tutorial For Beginners | Select + From Statements | 2/4,2020-03-01T17:02:28Z,534826,7589,301
429,SQL Basics Tutorial For Beginners | Installing SQL Server Management Studio and Create Tables | 1/4,2020-03-01T00:50:38Z,1514067,19036,2049
430,Data Analyst Fact Check |  84k Average Starting Salary?? | The Career Force 2020 Data Analyst Salary,2020-02-26T15:11:22Z,26172,854,161
431,Data Analyst Resume | Reviewing YOUR Data Analyst Resumes!,2020-02-24T16:34:51Z,28113,567,41
432,Data Analyst Salary in 2020,2020-02-19T15:43:59Z,8387,160,26
433,Working With a Recruiter to Land Your First Job as a Data Analyst | LinkedIn Recruiters,2020-02-14T18:03:34Z,15516,660,39
434,Switching Careers to Become a Data Analyst | How I Made the Switch,2020-02-11T15:03:18Z,51639,1847,253
435,Data Analyst Resume | Complete Guide To Creating A Data Analyst Resume | Tips + Templates + Examples,2020-02-06T16:00:52Z,129141,3630,105
436,Data Analyst Resume | Reviewing My Resume! | Fortune 500 Data Analyst,2020-01-30T14:07:55Z,88044,1839,63
437,Working at a Big Company Vs Small Company | Told by a Fortune 500 Data Analyst,2020-01-25T16:38:39Z,16455,443,23
438,Data Analyst Salary | 100k with No Experience,2020-01-23T03:16:09Z,66895,2256,217
439,Truth About Big Companies | Told by a Fortune 500 Data Analyst,2020-01-21T03:52:15Z,10421,375,22
440,Top 3 Data Analyst Skills in 2020,2020-01-17T14:31:39Z,33034,1542,144
